Difference of "all_files" between "b1.0.2" and "b1.1-1245".
Changed file "h.class" from "c15a342f378aa360b732dbe0709fd67a07f60210" to "7d33205bb0e3ce8343daff317cd6268cc8b8176d".
Changed file "ha.class" from "c3ed03122dd8fb55d4d9da815ddf137e6333a825" to "b5241301bf5f5294a1c8966f3aa4dbb22c2016a0".
Changed file "hb.class" from "3d3898838b43ce2254ab5d2da14cecef4f5f7fa7" to "1429e3daab9cd5ec9eb4aea1c30e565fa77fceba".
Changed file "hc.class" from "e03a2a6e7ec209f9cf2437ffdc9c200aee940420" to "a9a39c186fc02f9ed959a0b43a9bd04deb1b779b".
Changed file "hd.class" from "2e819de2f8f601c95f790725d74d424a2130407b" to "2cb96c0632402820f53afd4d131f07f29fa83efe".
Changed file "he.class" from "69180fac0f7bf8ba73339ec96395d95c37526573" to "47821976b607ced79435f95164c0a1a9620ea97a".
Changed file "hf.class" from "3cd178636f9bde96e944609f3dfb6f25514545cd" to "e027eadc783c0283f228b45dfd411b589059f87f".
Changed file "hg.class" from "c8745e3bd0373e16bca7280dbbce27d7ad348bb5" to "f374336e352901e5e51459246591c8d26424a27d".
Changed file "hh.class" from "c245acd2259068c75f4d09735d95ad499ba80fe0" to "516f5a1c0113917cbf73357ee16d8ef7dbd6b9f2".
Changed file "hi.class" from "f843ac0be91d7acfb8fe0688ab336b3b22848de8" to "22376a12854bdda1f2820b0dea4e6194805dca0e".
Changed file "hj.class" from "1ac8a1b07af70236e59e85a485ee66fff6ecb307" to "36597db1e034d819e0907aaefacba1c2c68c4556".
Changed file "hk.class" from "cc829f875a10f4cf22f86f3c075a437ccbec689a" to "1082146ed99685e67430cbced094456ca6fb0413".
Changed file "hl.class" from "b200264a1eeac3d7f5b359d1c462f54579e93ac4" to "e8635d697979fd3611ff2cd1ad5b8770b39772b8".
Changed file "hm.class" from "763b595ca744a19807a53d49992451c1dd196993" to "ccb3a6f8e5d3092aae703006f968afef90d7c3bf".
Changed file "hn.class" from "0505ea11609143d9016e3ab08994fe18f60a69e2" to "f0ff4886dedc75ccbb0b38d19fba819cb2158d32".
